id,thoi_gian_gui,ten_thiet_bi,nhiet_do,do_am,led1,led2,led3
6ab089b4a9d853399fa1c1b3,2026-09-21T08:34:44.904000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089b5a9d853399fa1c1b4,2026-09-21T08:34:45.924000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab089b7a9d853399fa1c1b5,2026-09-21T08:34:47.161000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab089b8a9d853399fa1c1b6,2026-09-21T08:34:48.166000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab089b9a9d853399fa1c1b7,2026-09-21T08:34:49.310000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab089b9a9d853399fa1c1b8,2026-09-21T08:34:49.892000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab089bba9d853399fa1c1b9,2026-09-21T08:34:51.092000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab089bba9d853399fa1c1ba,2026-09-21T08:34:51.864000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab089bca9d853399fa1c1bb,2026-09-21T08:34:52.863000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089bda9d853399fa1c1bc,2026-09-21T08:34:53.865000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089bea9d853399fa1c1bd,2026-09-21T08:34:54.887000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089bfa9d853399fa1c1be,2026-09-21T08:34:55.876000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089c0a9d853399fa1c1bf,2026-09-21T08:34:56.864000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089c1a9d853399fa1c1c0,2026-09-21T08:34:57.863000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089c2a9d853399fa1c1c1,2026-09-21T08:34:58.869000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089c4a9d853399fa1c1c2,2026-09-21T08:35:00.316000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089c4a9d853399fa1c1c3,2026-09-21T08:35:00.874000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089c5a9d853399fa1c1c4,2026-09-21T08:35:01.870000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089c6a9d853399fa1c1c5,2026-09-21T08:35:02.912000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089c7a9d853399fa1c1c6,2026-09-21T08:35:03.901000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089c8a9d853399fa1c1c7,2026-09-21T08:35:04.959000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089c9a9d853399fa1c1c8,2026-09-21T08:35:05.898000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089caa9d853399fa1c1c9,2026-09-21T08:35:06.874000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089cba9d853399fa1c1ca,2026-09-21T08:35:07.868000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089cca9d853399fa1c1cb,2026-09-21T08:35:08.892000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089cda9d853399fa1c1cc,2026-09-21T08:35:09.875000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089cea9d853399fa1c1cd,2026-09-21T08:35:10.910000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089cfa9d853399fa1c1ce,2026-09-21T08:35:11.868000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089d1a9d853399fa1c1cf,2026-09-21T08:35:13.167000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089d1a9d853399fa1c1d0,2026-09-21T08:35:13.877000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089d3a9d853399fa1c1d1,2026-09-21T08:35:15.208000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089d3a9d853399fa1c1d2,2026-09-21T08:35:15.871000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089d5a9d853399fa1c1d3,2026-09-21T08:35:17.053000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089d5a9d853399fa1c1d4,2026-09-21T08:35:17.876000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089d7a9d853399fa1c1d5,2026-09-21T08:35:19.023000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089d7a9d853399fa1c1d6,2026-09-21T08:35:19.918000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089d8a9d853399fa1c1d7,2026-09-21T08:35:20.950000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089daa9d853399fa1c1d8,2026-09-21T08:35:22.093000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089daa9d853399fa1c1d9,2026-09-21T08:35:22.881000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089dca9d853399fa1c1da,2026-09-21T08:35:24.128000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089dda9d853399fa1c1db,2026-09-21T08:35:25.132000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089dda9d853399fa1c1dc,2026-09-21T08:35:25.917000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089dfa9d853399fa1c1dd,2026-09-21T08:35:27.090000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089e0a9d853399fa1c1de,2026-09-21T08:35:28.102000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab089e0a9d853399fa1c1df,2026-09-21T08:35:28.939000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab089e2a9d853399fa1c1e0,2026-09-21T08:35:30.160000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab089e2a9d853399fa1c1e1,2026-09-21T08:35:30.984000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab08a5e1b205e9720601ccc,2026-09-21T08:37:34.264000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab08a5f1b205e9720601ccd,2026-09-21T08:37:35.245000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab08a601b205e9720601cce,2026-09-21T08:37:36.584000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab08a611b205e9720601ccf,2026-09-21T08:37:37.319000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab08a621b205e9720601cd0,2026-09-21T08:37:38.470000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab08a631b205e9720601cd1,2026-09-21T08:37:39.802000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab08a651b205e9720601cd2,2026-09-21T08:37:41.332000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab08a661b205e9720601cd3,2026-09-21T08:37:42.779000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab08a681b205e9720601cd4,2026-09-21T08:37:44.118000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab08a691b205e9720601cd5,2026-09-21T08:37:45.649000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab08a6a1b205e9720601cd6,2026-09-21T08:37:46.554000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab08a6b1b205e9720601cd7,2026-09-21T08:37:47.885000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab08a6c1b205e9720601cd8,2026-09-21T08:37:48.636000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab08a6e1b205e9720601cd9,2026-09-21T08:37:50.257000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab08a6f1b205e9720601cda,2026-09-21T08:37:51.167000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab08a701b205e9720601cdb,2026-09-21T08:37:52.395000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab08a711b205e9720601cdc,2026-09-21T08:37:53.205000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab08a721b205e9720601cdd,2026-09-21T08:37:54.453000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab08a731b205e9720601cde,2026-09-21T08:37:55.867000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab08a751b205e9720601cdf,2026-09-21T08:37:57.044000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab08a761b205e9720601ce0,2026-09-21T08:37:58.038000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab08a771b205e9720601ce1,2026-09-21T08:37:59.249000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab08a781b205e9720601ce2,2026-09-21T08:38:00.894000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab08a7a1b205e9720601ce3,2026-09-21T08:38:02.139000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab08a7b1b205e9720601ce4,2026-09-21T08:38:03.765000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab08a7c1b205e9720601ce5,2026-09-21T08:38:04.588000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab091e215238663fa08568b,2026-09-21T09:09:38.546000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab091e315238663fa08568c,2026-09-21T09:09:39.314000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab091e415238663fa08568d,2026-09-21T09:09:40.410000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab091e515238663fa08568e,2026-09-21T09:09:41.338000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab091e615238663fa08568f,2026-09-21T09:09:42.348000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab091e715238663fa085690,2026-09-21T09:09:43.379000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab091e815238663fa085691,2026-09-21T09:09:44.404000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab091e915238663fa085692,2026-09-21T09:09:45.559000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab091ea15238663fa085693,2026-09-21T09:09:46.862000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab091eb15238663fa085694,2026-09-21T09:09:47.571000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab091ed15238663fa085695,2026-09-21T09:09:49.526000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab091ee15238663fa085696,2026-09-21T09:09:50.036000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab091ef15238663fa085697,2026-09-21T09:09:51.673000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab091f015238663fa085698,2026-09-21T09:09:52.187000+07:00,pi4-tdbao,26.0,71.0,0,1,0
6ab091f115238663fa085699,2026-09-21T09:09:53.126000+07:00,pi4-tdbao,26.0,71.0,0,0,1
6ab091f215238663fa08569a,2026-09-21T09:09:54.366000+07:00,pi4-tdbao,26.0,71.0,1,0,0
6ab091f315238663fa08569b,2026-09-21T09:09:55.156000+07:00,pi4-tdbao,26.0,71.0,0,1,0
